City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
436,Savannah Bight,HN,87.85,overcast clouds,16.45,-85.85,Villa on Dunbar Rock
440,Meulaboh,ID,75.78,overcast clouds,4.1363,96.1285,Kost Pria
441,Hamilton,US,79.25,overcast clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
446,Tabuk,PH,76.5,overcast clouds,17.4189,121.4443,Golden Berries Hotel and Convention
447,Matara,LK,78.26,scattered clouds,5.9485,80.5353,Amaloh Boutique Resort
452,Phan Thiet,VN,77.56,broken clouds,10.9333,108.1,Hotel Saigon-PT
462,Vallenar,CL,78.4,clear sky,-28.5708,-70.7581,Humacao Bed & Breakfast
466,Indianola,US,80.83,overcast clouds,41.3581,-93.5574,Quality Inn Indianola
468,Tobe,JP,79.68,overcast clouds,33.7447,132.7901,青年の家
470,Sayville,US,79.56,scattered clouds,40.7359,-73.0821,La Quinta Inn & Suites by Wyndham Islip - MacArthur Airport
474,Auki,SB,76.3,moderate rain,-8.7676,160.7034,Auki Motel
476,Najran,SA,86.65,broken clouds,17.4924,44.1277,محمد هادي ال فطيح
477,Nisia Floresta,BR,84.58,scattered clouds,-6.0911,-35.2086,Rancho Crepusculo
478,Banjar,ID,78.66,scattered clouds,-8.19,114.9675,The Hamsa Resort
480,Almeirim,BR,78.53,overcast clouds,-1.5233,-52.5817,Ricácio Hotel
482,Gazanjyk,TM,84.02,clear sky,39.2446,55.5154,Railway motel
484,Gusau,NG,75.85,moderate rain,12.1628,6.6614,GUEST INN
486,West Bay,KY,89.67,few clouds,19.3667,-81.4167,Calypso Cove
487,Mahajanga,MG,75.22,few clouds,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
488,Praia Da Vitoria,PT,77.25,few clouds,38.7333,-27.0667,Hotel Branco I
489,Wajir,KE,79.25,broken clouds,1.7471,40.0573,Al-bustan Hotel And Restaurant.
493,Ninghai,CN,78.73,overcast clouds,29.2892,121.4247,Kaiyuan New Century Hotel
494,Marsa Matruh,EG,82.6,clear sky,31.3525,27.2453,Beau Site
495,Juneau,US,78.84,few clouds,58.3019,-134.4197,"Baranof Downtown, Bw Signature Collection"
506,Muroto,JP,80.78,broken clouds,33.2833,134.15,Oota Ryokan
507,Kalmunai,LK,80.62,overcast clouds,7.4167,81.8167,VS Villa
508,Kismayo,SO,75.58,broken clouds,-0.3582,42.5454,Agan-Hotel
511,Road Town,VG,86.2,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
516,Puerto Del Rosario,ES,76.75,few clouds,28.5004,-13.8627,Hotel JM Puerto del Rosario
517,Lipari,IT,87.1,clear sky,38.4674,14.954,Hotel Villa Diana Soc. Clelia Hunziker s.a.s.
518,Atlantic City,US,84.02,clear sky,39.3643,-74.4229,Courtyard by Marriott Atlantic City Beach Block
520,Martapura,ID,75.29,mist,-3.4167,114.85,Montana Hotel Syariah
523,Lazaro Cardenas,MX,87.78,overcast clouds,17.9583,-102.2,quinta antigua
525,Oussouye,SN,75.38,overcast clouds,12.485,-16.5469,Auberge du Routard
