City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
128,Somogyvar,HU,46.5814,17.6629,73.27,63,23,7.43,light rain
129,Grenaa,DK,56.4158,10.8783,61.02,83,29,1.99,scattered clouds
130,Adrar,MR,20.5022,-10.0711,98.64,21,68,13.44,broken clouds
131,Shingu,JP,33.7333,135.9833,77.92,90,46,4.09,scattered clouds
132,Samborondon,EC,-1.95,-79.7333,80.6,42,62,5.08,broken clouds
133,Tiarei,PF,-17.5333,-149.3333,80.62,62,84,13.78,broken clouds
134,Mar Del Plata,AR,-38.0023,-57.5575,55.42,27,0,8.99,clear sky
135,Nouadhibou,MR,20.931,-17.0347,71.58,83,12,20.71,sand
136,Hofn,IS,64.2539,-15.2082,50.02,88,34,10.45,scattered clouds
137,Fort Nelson,CA,58.8053,-122.7002,80.19,44,20,3.44,few clouds
138,Taunggyi,MM,20.7833,97.0333,62.24,98,96,3.65,overcast clouds
139,Madang,PG,-5.2246,145.7966,75.06,88,84,4.09,broken clouds
140,Vostok,RU,46.4856,135.8833,62.96,97,72,3.94,broken clouds
141,Wad Madani,SD,14.4012,33.5199,75.49,77,100,15.75,overcast clouds
142,Tuktoyaktuk,CA,69.4541,-133.0374,57.2,100,90,18.41,mist
143,Ancud,CL,-41.8697,-73.8203,49.53,63,47,3.02,scattered clouds
144,Zemio,CF,5.0314,25.1361,68.99,98,99,5.35,moderate rain
145,Cherepanovo,RU,54.2222,83.381,60.21,52,83,7.81,broken clouds
146,Taltal,CL,-25.4,-70.4833,63.18,69,24,4.34,few clouds
147,Rio Gallegos,AR,-51.6226,-69.2181,42.85,45,75,19.57,broken clouds
148,Jalu,LY,29.0331,21.5482,92.08,22,0,21.14,clear sky
149,Torbay,CA,47.6666,-52.7314,69.89,75,75,19.57,broken clouds
150,Saint-Augustin,CA,51.226,-58.6502,54.95,87,100,18.05,overcast clouds
151,Cravo Norte,CO,6.3017,-70.2041,81.52,74,100,5.86,overcast clouds
152,Mweka,CD,-4.85,21.5667,74.93,25,10,2.77,clear sky
153,Richards Bay,ZA,-28.783,32.0377,63.63,82,0,9.78,clear sky
154,Coihaique,CL,-45.5752,-72.0662,43.41,56,0,6.91,clear sky
155,Barra Do Bugres,BR,-15.0725,-57.1811,92.7,13,40,2.06,scattered clouds
156,Sulangan,PH,11.1373,123.7228,83.95,75,76,11.05,broken clouds
157,Bossangoa,CF,6.4926,17.4552,69.73,98,100,2.93,light rain
158,Mongar,BT,27.2747,91.2396,64.58,97,99,1.77,overcast clouds
159,Gotsu,JP,35.0,132.2167,76.3,77,47,4.32,scattered clouds
160,Cabra,ES,37.4725,-4.4421,80.04,33,100,5.99,overcast clouds
161,Sabang,ID,5.8933,95.3214,82.99,74,100,22.84,overcast clouds
162,Fairbanks,US,64.8378,-147.7164,71.1,58,1,3.44,clear sky
163,Vila Franca Do Campo,PT,37.7167,-25.4333,77.41,79,32,5.12,scattered clouds
164,Ardabil,IR,38.2498,48.2933,62.15,94,75,9.22,fog
165,Beyneu,KZ,45.3167,55.2,87.73,15,0,16.84,clear sky
166,Vila Velha,BR,-20.3297,-40.2925,73.96,66,40,12.66,scattered clouds
167,Shetpe,KZ,44.1667,52.1167,82.49,27,7,8.75,clear sky
168,Lingao,CN,19.9103,109.6859,82.08,80,100,13.87,overcast clouds
169,Ekhabi,RU,53.5102,142.9671,50.31,84,100,2.57,light rain
170,Isakly,RU,54.1333,51.5333,68.45,75,5,4.23,clear sky
171,Isangel,VU,-19.55,169.2667,68.11,64,8,14.97,clear sky
172,Manavalakurichi,IN,8.1333,77.3,78.89,82,83,16.49,broken clouds
173,Kenai,US,60.5544,-151.2583,65.03,74,40,0.0,scattered clouds
174,Yar-Sale,RU,66.8333,70.8333,46.44,86,14,8.19,few clouds
175,San Pedro,PH,14.35,121.0167,82.15,83,75,11.5,broken clouds
176,Gallup,US,35.5281,-108.7426,83.16,31,40,1.99,scattered clouds
177,Bafq,IR,31.6128,55.4107,88.93,19,4,5.28,clear sky
178,Porto Novo,BJ,6.4965,2.6036,80.42,85,100,6.02,overcast clouds
179,Cherskiy,RU,68.75,161.3,41.29,92,100,13.94,light rain
180,Rio Do Sul,BR,-27.2142,-49.6431,61.39,67,69,4.0,broken clouds
181,Bardiyah,LY,31.7561,25.0865,80.83,79,0,18.21,clear sky
182,Beloha,MG,-25.1667,45.05,65.14,75,0,14.65,clear sky
183,Souillac,MU,-20.5167,57.5167,70.18,78,75,14.97,broken clouds
184,Georgetown,MY,5.4112,100.3354,78.73,94,40,1.01,scattered clouds
185,Talara,PE,-4.5772,-81.2719,77.76,57,0,17.27,clear sky
186,Lazurne,UA,46.084,32.5295,77.45,63,0,5.59,clear sky
187,Nong Phai,TH,15.9903,101.0618,75.42,92,100,4.36,overcast clouds
188,Clyde River,CA,70.4692,-68.5914,44.83,81,75,9.22,broken clouds
